2026-04-08 01:48:10,378 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Brentford finish in 3rd place in the 2025-26 English Pr
2026-04-08 01:48:10,378 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Sunderland finish in 3rd place in the 2025-26 English P
2026-04-08 01:48:10,378 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Tottenham finish in last place in the 2025-26 English P
2026-04-08 01:48:10,378 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Nottm Forest finish in last place in the 2025-26 Englis
2026-04-08 01:48:10,378 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Wolves finish in last place in the 2025-26 English Prem
2026-04-08 01:48:10,378 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Burnley finish in last place in the 2025-26 English Pre
2026-04-08 01:48:10,378 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will West Ham finish in last place in the 2025-26 English Pr
2026-04-08 01:48:10,379 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Leeds finish in last place in the 2025-26 English Premi
2026-04-08 01:48:10,379 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Joao Pedro be the top goal scorer in the 2025–26 Englis
2026-04-08 01:48:10,379 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Evanilson be the top goal scorer in the 2025–26 English
2026-04-08 01:48:10,379 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Ollie Watkins be the top goal scorer in the 2025–26 Eng
2026-04-08 01:48:10,379 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Erling Haaland be the top goal scorer in the 2025–26 En
2026-04-08 01:48:10,380 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Mohamed Salah be the top goal scorer in the 2025–26 Eng
2026-04-08 01:48:10,380 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Morgan Rogers be the top goal scorer in the 2025–26 Eng
2026-04-08 01:48:10,380 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Viktor Gyokeres be the top goal scorer in the 2025–26 E
2026-04-08 01:48:10,380 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Matheus Cunha be the top goal scorer in the 2025–26 Eng
2026-04-08 01:48:10,380 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Alexander Isak be the top goal scorer in the 2025–26 En
2026-04-08 01:48:10,380 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Hugo Ekitike be the top goal scorer in the 2025–26 Engl
2026-04-08 01:48:10,380 [INFO] src.market_scanner: Skipped too far out (49d, max=14d): Will Cole Palmer be the top goal scorer in the 2025–26 Engli
